Age,PSNR,SSIM,LPIPS,MAE,File,AgeGroup
15,22.385216,0.9216397792657249,0.5365978604048686,0.048982736,MNBCP000178_15mo_PTNetSynth.nii.gz,13-15m
17,21.878819,0.9094582319579185,0.5030836944548499,0.049320243,MNBCP000195_17mo_PTNetSynth.nii.gz,16-18m
19,21.161749,0.9049755810359267,0.5851225471065479,0.062070165,MNBCP124529_19mo_PTNetSynth.nii.gz,19-24m
20,20.362846,0.9143891355957444,0.5583147430642051,0.07176448,MNBCP176851_20mo_PTNetSynth.nii.gz,19-24m
20,21.269344,0.9074383483508093,0.5786466796162131,0.05368983,MNBCP185373_20mo_PTNetSynth.nii.gz,19-24m
10,21.63855,0.913419997015759,0.5980042470870791,0.0546722,MNBCP198549_10mo_PTNetSynth.nii.gz,10-12m
13,22.166855,0.9112753715872255,0.5710044320868818,0.047753844,MNBCP198549_13mo_PTNetSynth.nii.gz,13-15m
24,21.6065,0.9112058916273308,0.44885058258357763,0.056680284,MNBCP222881_24mo_PTNetSynth.nii.gz,19-24m
24,22.479927,0.9185009406522513,0.5904129373466039,0.048517544,MNBCP223008_24mo_PTNetSynth.nii.gz,19-24m
7,20.930967,0.9116200250647019,0.47023438138590345,0.061759233,MNBCP223008_7mo_PTNetSynth.nii.gz,7-9m
19,21.794712,0.9097006665788788,0.44615638256073,0.055109818,MNBCP380510_19mo_PTNetSynth.nii.gz,19-24m
12,21.272015,0.8945474143734395,0.558621748054492,0.05263812,MNBCP469090_12mo_PTNetSynth.nii.gz,10-12m
15,21.03746,0.8932749374264539,0.5541070231418239,0.056340132,MNBCP469090_15mo_PTNetSynth.nii.gz,13-15m
18,21.26011,0.8882374074935,0.5334495932357498,0.056341283,MNBCP469090_18mo_PTNetSynth.nii.gz,16-18m
9,20.256443,0.8884888588314185,0.5777383983852515,0.065444954,MNBCP469090_9mo_PTNetSynth.nii.gz,7-9m
7,20.947306,0.9173864542606808,0.4960435158252527,0.06084463,MNBCP470437_7mo_PTNetSynth.nii.gz,7-9m
10,21.44453,0.9083305067753212,0.5955406476425219,0.052965503,MNBCP477275_10mo_PTNetSynth.nii.gz,10-12m
16,22.116592,0.9084225211636947,0.5731406342703849,0.047192488,MNBCP536876_16mo_PTNetSynth.nii.gz,16-18m
22,20.459127,0.9084301805638325,0.5861784885355741,0.07121338,MNBCP536876_22mo_PTNetSynth.nii.gz,19-24m
14,21.541924,0.9144133748627756,0.5310166149099748,0.058415413,MNBCP611881_14mo_PTNetSynth.nii.gz,13-15m
17,22.443495,0.9166739180026079,0.5851677998287391,0.04620263,MNBCP611881_17mo_PTNetSynth.nii.gz,16-18m
11,20.995327,0.9091405579540491,0.49489388103555343,0.059101183,MNBCP684448_11mo_PTNetSynth.nii.gz,10-12m
14,19.741064,0.8943858565110759,0.4906003716272078,0.07847267,MNBCP684448_14mo_PTNetSynth.nii.gz,13-15m
8,19.459799,0.9009925662927767,0.5195161606874559,0.07994527,MNBCP684448_8mo_PTNetSynth.nii.gz,7-9m
11,22.672789,0.9217443208319019,0.5736663484325012,0.04442324,MNBCP726893_11mo_PTNetSynth.nii.gz,10-12m
14,21.725876,0.9206324384712902,0.5078420512863013,0.05928365,MNBCP726893_14mo_PTNetSynth.nii.gz,13-15m
8,21.037348,0.9136332756962058,0.5586506484705364,0.057613928,MNBCP726893_8mo_PTNetSynth.nii.gz,7-9m
10,21.868942,0.9008581303597948,0.6084124417497944,0.051503222,MNBCP760812_10mo_PTNetSynth.nii.gz,10-12m
13,21.960243,0.9096517225723396,0.5838993503799979,0.05033857,MNBCP760812_13mo_PTNetSynth.nii.gz,13-15m
7,19.768557,0.8957890805659667,0.5916856078057255,0.07895704,MNBCP760812_7mo_PTNetSynth.nii.gz,7-9m
6,20.265656,0.8861812508776821,0.49393224086137427,0.061262287,MNBCP810675_6mo_PTNetSynth.nii.gz,4-6m
15,22.104551,0.9070979995292161,0.5476220984607053,0.050743975,MNBCP830201_15mo_PTNetSynth.nii.gz,13-15m
19,21.534138,0.8958228394692291,0.5799740810313996,0.052107643,MNBCP830201_19mo_PTNetSynth.nii.gz,19-24m
15,20.481525,0.8980301663681898,0.5674044593584304,0.05658363,MNBCP839327_15mo_PTNetSynth.nii.gz,13-15m
13,20.432648,0.909073650701195,0.591749353469997,0.07030738,MNBCP859613_13mo_PTNetSynth.nii.gz,13-15m
7,21.459646,0.9011329956894957,0.5779215692189233,0.055564765,MNBCP859613_7mo_PTNetSynth.nii.gz,7-9m
24,22.005682,0.9065122618111052,0.5120819577248767,0.04929672,MNBCP883901_24mo_PTNetSynth.nii.gz,19-24m
11,21.32391,0.9085087372185077,0.556970152978929,0.0537371,MNBCP890518_11mo_PTNetSynth.nii.gz,10-12m
