Age,PSNR,SSIM,LPIPS,MAE,File,AgeGroup
12,18.07995492767712,0.8970190883433824,0.5906891254609148,0.10491487,test_NCBCP518139_12mo_T2.nii.gz,10-12m
21,20.823007002061455,0.9045662798487502,0.5563759223123391,0.05482091,test_NCBCP518139_21mo_T2.nii.gz,19-24m
15,19.353749692923863,0.9090933246421747,0.5939519156779719,0.08613963,test_NCBCP518139_15mo_T2.nii.gz,13-15m
9,19.337662766340593,0.8991224389361502,0.5745543736843755,0.085925266,test_NCBCP518139_9mo_T2.nii.gz,7-9m
16,19.353016211303963,0.8990638633011858,0.44940064049109163,0.08001034,test_MNBCP204659_16mo_T2.nii.gz,16-18m
10,21.201089658657285,0.9181704926311545,0.5226498087094479,0.056652863,test_MNBCP204659_10mo_T2.nii.gz,10-12m
13,20.180597983336327,0.9176319115963001,0.5371594765463715,0.07072455,test_MNBCP204659_13mo_T2.nii.gz,13-15m
19,20.404356687938797,0.8890252549015887,0.5968038003985981,0.058993228,test_MNBCP830201_19mo_T2.nii.gz,19-24m
15,21.21132994033554,0.9100924437559172,0.5829112087102497,0.053747486,test_MNBCP830201_15mo_T2.nii.gz,13-15m
11,21.397748463938452,0.9190708055298532,0.5671944408294783,0.050207734,test_MNBCP938316_11mo_T2.nii.gz,10-12m
5,19.899986312248338,0.9152739200196556,0.5044477732329489,0.06497649,test_MNBCP938316_5mo_T2.nii.gz,4-6m
2,12.126810550300885,0.893444197658466,0.49253688931696177,0.15397443,test_MNBCP938316_2mo_T2.nii.gz,0-3m
8,19.917791249470294,0.9151381252065169,0.5418328930543543,0.07462335,test_MNBCP938316_8mo_T2.nii.gz,7-9m
18,21.632601540164373,0.9077346876420992,0.58240551543987,0.048793383,test_MNBCP309615_18mo_T2.nii.gz,16-18m
2,13.313108555488515,0.878436654349201,0.5074380205956394,0.1333064,test_MNBCP309615_2mo_T2.nii.gz,0-3m
